,age,league_123,division,location
16#3Blue,16,3,Blue,El Camino HS
16#3Copper,16,3,Copper,Hilmar HS
16#3Dusk,16,3,Dusk,Heritage HS
16#3Evergreen,16,3,Evergreen,Rancho Cordova Event Center
16#3Fuchsia,16,3,Fuchsia,Cabrillo College
16#3Green,16,3,Green,Rancho Cordova Event Center
18-17#1Gold,18-17,1,Gold,Dougherty Valley HS
18-17#1Silver,18-17,1,Silver,Rancho Cordova Event Center
18-17#1Bronze,18-17,1,Bronze,Clovis North HS
18-17#1Aqua,18-17,1,Aqua,Placer HS
18-17#1Blue,18-17,1,Blue,El Camino HS
18-17#1Copper,18-17,1,Copper,Cabrillo College
18-17#1Dusk,18-17,1,Dusk,Granite Ridge MS
18-17#1Evergreen,18-17,1,Evergreen,Los Medanos College
18-17#1Green,18-17,1,Green,Reedley College
18-17#1Fuchsia,18-17,1,Fuchsia,Reedley College
18-17#2Gold,18-17,2,Gold,Cosumnes River College
18-17#2Silver,18-17,2,Silver,SportsHouse
18-17#2Bronze,18-17,2,Bronze,Tracy HS
18-17#2Aqua,18-17,2,Aqua,Solano Community College
18-17#2Blue,18-17,2,Blue,Hoover HS
18-17#2Copper,18-17,2,Copper,Rancho Cordova Event Center
18-17#2Dusk,18-17,2,Dusk,Cabrillo College
18-17#2Evergreen,18-17,2,Evergreen,Clovis HS
18-17#2Fuchsia,18-17,2,Fuchsia,Freedom HS
18-17#2Green,18-17,2,Green,Rancho Cordova Event Center
18-17#3Gold,18-17,3,Gold,San Jose State University
18-17#3Silver,18-17,3,Silver,Hoover HS
18-17#3Bronze,18-17,3,Bronze,Rancho Cordova Event Center
18-17#3Aqua,18-17,3,Aqua,Cabrillo College
18-17#3Copper,18-17,3,Copper,SportsHouse
18-17#3Dusk,18-17,3,Dusk,Rancho Cordova Event Center
18-17#3Evergreen,18-17,3,Evergreen,El Camino HS
18-17#3Fuchsia,18-17,3,Fuchsia,Rancho Cordova Event Center
18-17#3Green,18-17,3,Green,El Molino HS
18-17#3Blue,18-17,3,Blue,Hilmar HS
