,site,site_address
Gonzales High School,Gonzales High School,"401 4th St Gonzales, CA 93926"
Granada High School,Granada High School,"400 Wall Street Livermore, CA  94550"
Granite Bay Middle School,Granite Bay Middle School,"1 Grizzly Way Granite Bay, CA 95746"
Granite Ridge Middle School,Granite Ridge Middle School,"2770 E International Clovis, Ca 93730"
Grant High School,Grant High School,"1400 Grand Avenue Sacramento, CA 95838"
Gregori High School,Gregori High School,"3701 Pirrone Road Modesto, CA 95356"
Gunn High School - Bow and Titan Gyms,Gunn High School - Bow and Titan Gyms,"780 Arastradero Rd, Palo Alto, CA 94306"
Harbor High School,Harbor High School,"300 La Fonda Avenue Santa Cruz, CA 95062"
Hardwood Palace,Hardwood Palace,"1091 Tinker Road Rocklin, CA 95765"
Hart Middle School,Hart Middle School,"4433 Willow Road Pleasanton, CA 94588"
Hartnell College,Hartnell College,"411 Central Avenue Salinas, CA 93901"
Harvest Park Middle School,Harvest Park Middle School,"4900 Valley Avenue Pleasanton, CA 94566"
Hayward High School,Hayward High School,"1633 East Ave Hayward, CA 94541"
Heritage High School,Heritage High School,"101 American Avenue Brentwood, CA 94513"
Hilmar High School,Hilmar High School,"7807 Lander Avenue Hilmar, CA 95324"
Hoover High School,Hoover High School,"5550 N. First, Fresno, CA 93710"
International Agri-Center,International Agri-Center,"4450 S Laspina St Tulare, CA 93274"
Jordan Middle School,Jordan Middle School,"750 North California Avenue  Palo Alto, CA 94303"
La Sierra Community Center,La Sierra Community Center,"5325 Engle Road, Carmichael, CA 95608"
Laguna Creek High School,Laguna Creek High School,"9050 Vicino Drive, Elk Grove, CA 95758"
Leland High School,Leland High School,"6677 Camden Avenue, San Jose, CA 95120"
Livingston High School,Livingston High School,"1617 Main Street, Livingston, CA 95334"
Lodi Girls and Boys Club,Lodi Girls and Boys Club,"1050 S Stockton Street, Lodi CA 95240"
Los Gatos High School,Los Gatos High School,"20 High School Court, Los Gatos, CA 95030"
Los Medanos College,Los Medanos College,"2700 E Leland Road, Pittsburg, CA 94565"
Madera South High School,Madera South High School,"705 W. Pecan Avenue, Madera, CA 93637"
Mare Island Sports Complex,Mare Island Sports Complex,"785 Walnut Avenue, Mare Island, CA 94592-0072"
Marysville High School,Marysville High School,"12 East 18th St, Marysville, CA 95901"
McClellan Event Center,McClellan Event Center,"5411 Luce Ave, McClellan, CA, 95652"
McClellan – Building 251,McClellan – Building 251,"3034 Peacekeeper Way, McClellan Park, CA"
McClellan – Building 360,McClellan – Building 360,"5000 Bailey Loop, McClellan, CA 95652"
McClellan – Building 690,McClellan – Building 690,"4710 Kilzer Avenue, McClellan, CA 95652"
McDermont Field House,McDermont Field House,"365 N Sweetbriar Ave, Lindsay, CA 93247"
McKinley Park,McKinley Park,"601 Alhambra Blvd., Sacramento, CA 95816"
Menlo Atherton High School,Menlo Atherton High School,"555 Middlefield Rd, Atherton, CA 94027"
Minarets High School,Minarets High School,"45077 Road 200, O’Neals, CA 93645"
Mira Loma High School,Mira Loma High School,"4000 Edison Ave., Sacramento, CA 95821"
Modesto Jr. College,Modesto Jr. College,"435 College Avenue, Modesto, CA 95350"
Monte Vista HS,Monte Vista HS,"3131 Stone Valley Rd, Danville, CA 94526"
Monterey High School,Monterey High School,"101 Herrmann Dr, Monterey, CA 93940"
Monterey Trail High School,Monterey Trail High School,"8661 Power Inn Road, Elk Grove, CA 95624"
Moreau Catholic High School,Moreau Catholic High School,"27170 Mission Blvd., Hayward, CA 94544"
Moscone Convention Center – North Hal,Moscone Convention Center – North Hal,"747 Howard Street, San Francisco, CA 94103"
MVVC Facility,MVVC Facility,"477 N. Mathilda Avenue, Sunnyvale, CA 94085"
Napa Valley College,Napa Valley College,"2277 Napa Vallejo Highway, Napa, CA 94558"
NB Courts,NB Courts,"6474 Patterson Pass Road, Livermore, CA 94550"
NNJ Facility,NNJ Facility,"1575 Linda Way #101, Sparks, NV 89431"
Norcal Courts,Norcal Courts,"360 Ferry St, Martinez, CA 94553"
Norcal Rush Facility,Norcal Rush Facility,"1104 J Street, Marysville, CA 95901"
North Salinas High School,North Salinas High School,"55 Kip Drive, Salinas, CA 93906"
North Tahoe High School,North Tahoe High School,"2945 Polaris Road, Tahoe City, CA"
Notre Dame de Namur University,Notre Dame de Namur University,"1500 Ralston Avenue, Belmont, CA 94002"
Oak Grove High School,Oak Grove High School,"285 Blossom Hill Road, San Jose, CA 95123"
Oakdale Junior High,Oakdale Junior High,"400 SOUTH MAAG AVENUE • OAKDALE, CA 95361"
Oakland Convention Center,Oakland Convention Center,"1001 Broadway, Oakland, CA 94607"
OConnell HS,OConnell HS,"2355 Folsom St, San Francisco, Ca – Enter parking off of Harrison St"
Overfelt HS,Overfelt HS,"1835 Cunningham Ave, San Jose, CA 95122"
Pacific Rim Volleyball Academy,Pacific Rim Volleyball Academy,"2424 Estand Way, Pleasant Hill, CA 94523"
Pacheco High School,Pacheco High School,"200 Ward Road, Los Banos, CA 93635"
Pajaro Valley High School,Pajaro Valley High School,"500 Harkins Slough Road, Watsonville, CA 95076"
Pescadero High School,Pescadero High School,"350 Butano Cutoff Road, Pescadero, CA 94060"
Piner High School,Piner High School,"1700 Fulton Rd, Santa Rosa, CA 95403"
Pioneer High School,Pioneer High School,"1400 Pioneer Avenue, Woodland, CA 95776"
Placer High School,Placer High School,"275 Orange St, Auburn, CA 95603"
Planada Elementary School,Planada Elementary School,"9525 E Brodrick, Planada, CA 95365"
Pleasant Grove High School,Pleasant Grove High School,"9531 Bond Road, Elk Grove, CA 95624"
Pleasanton Middle School,Pleasanton Middle School,"5001 Case Avenue, Pleasanton, CA 94566"
Rancho Cordova Sports & Events Center,Rancho Cordova Sports & Events Center,"2561 Mercantile, Rancho Cordova, CA 95670"
Redwood Middle School,Redwood Middle School,"13925 Fruitvale Ave, Saratoga, CA 95070"
Reedley College,Reedley College,"995 N Reed Ave, Reedley, CA 93654"
Reno Event Center,Reno Event Center,Penalties for violating these rules are:
Reno-Sparks Convention Center,Reno-Sparks Convention Center,"4590 South Virginia Street, Reno, NV 89502"
Reyburn Intermediate School,Reyburn Intermediate School,"2901 DeWolf Avenue, Clovis, CA 93619"
