,age,team,code,city
Xceleration Blue 14‐1,14,Xceleration Blue 14‐1,fj4xcele1nc,"Orinda, CA"
Core Elite 14‐1,14,Core Elite 14‐1,fj4corev1nc,"Dublin, CA"
SF JRS Black 14‐2,14,SF JRS Black 14‐2,fj4sfjrs2nc,"San Francisco, CA"
Stingray Black 14‐1,14,Stingray Black 14‐1,fj4stray1nc,"San Jose, CA"
Xtreme Red 14‐1,14,Xtreme Red 14‐1,fj4x650t1nc,"San Mateo, CA"
MVVC 14 Red 14‐1,14,MVVC 14 Red 14‐1,fj4mouvi1nc,"Sunnyvale, CA"
Gold Cal Jrs Air 14‐1,14,Gold Cal Jrs Air 14‐1,fj4gldcl1nc,"Granite Bay, CA"
SPVC Blue 14‐1,14,SPVC Blue 14‐1,fj4spvcv1nc,"Sacramento, CA"
Empire Black 14‐1,14,Empire Black 14‐1,fj4mpire1nc,"Santa Rosa, CA"
Pacific Coast Brad 14‐1,14,Pacific Coast Brad 14‐1,fj4pfcst1nc,"Escalon, CA"
City Beach Black 14‐1,14,City Beach Black 14‐1,fj4beach1nc,"Santa Clara, CA"
SynergyForce 15 Black,15,SynergyForce 15 Black,fj5force2nc,"Sacramento, CA"
City Beach Black 15‐1,15,City Beach Black 15‐1,fj5beach1nc,"Santa Clara, CA"
Aspire Black 15‐1,15,Aspire Black 15‐1,fj5folso1nc,"Folsom, CA"
Slainte Black 15‐1,15,Slainte Black 15‐1,fj5slanb1nc,"San Francisco, CA"
EBVA 15‐1,15,EBVA 15‐1,fj5estby1nc,"Pleasanton, CA"
Core Elite 15‐1,15,Core Elite 15‐1,fj5corev1nc,"Dublin, CA"
Academy 15 Gold,15,Academy 15 Gold,fj5acdvp2nc,"PALO ALTO, CA"
Odyssey 15‐1 BLACK,15,Odyssey 15‐1 BLACK,fj5odysy1nc,"Walnut Creek, CA"
Delta Valley 15‐1,15,Delta Valley 15‐1,fj5delta1nc,"Stockton, CA"
XcelerationWhite 15‐2,15,XcelerationWhite 15‐2,fj5xcele2nc,"Orinda, CA"
NOMAR Navy 15‐1,15,NOMAR Navy 15‐1,fj5nomar1nc,"Novato, CA"
Kamikaze 15‐1,15,Kamikaze 15‐1,fj5kamik1nc,"Foster City , CA"
Absolute White 15‐3,15,Absolute White 15‐3,fj5absol3nc,"San Rafael, CA"
City Beach Green 15‐2,15,City Beach Green 15‐2,fj5beach2nc,"Santa Clara, CA"
Vacaville Extreme 15‐1,15,Vacaville Extreme 15‐1,fj5vacex1nc,"Vacaville, CA"
PAEVBC Red 15‐1,15,PAEVBC Red 15‐1,fj5palel1nc,"Palo Alto, CA"
NNJ Kuna 15‐2,15,NNJ Kuna 15‐2,fj5nnejr2nc,"Sparks, NV"
Rage 15‐Katie,15,Rage 15‐Katie,fj5ripor2nc,"Ripon, CA"
Destiny 15‐1,15,Destiny 15‐1,fj5desvc1nc,"san francisco, CA"
Frisco Bay 15‐1 ,15,Frisco Bay 15‐1 ,fj5frisc1nc,"San Francisco, CA"
Central Cal Silver 15‐2,15,Central Cal Silver 15‐2,fj5clovs2nc,"FRESNO, CA"
Vista 15‐1,15,Vista 15‐1,fj5vista1nc,"Oakhurst, CA"
Pacpre 15‐1,15,Pacpre 15‐1,fj5papvc1nc,"Clovis, CA"
Vibe Vortex 15's,15,Vibe Vortex 15's,fj5vvibe1nc,"Danville, CA"
Encore Red 15‐2,15,Encore Red 15‐2,fj5encoe2nc,"Redwood City, CA"
Sierra Vista VBC 15‐1,15,Sierra Vista VBC 15‐1,fj5srast1nc,"Placerville, CA"
SPVC Blue 15‐1,15,SPVC Blue 15‐1,fj5spvcv1nc,"Sacramento, CA"
Crush Black 15‐1,15,Crush Black 15‐1,fj5crush1nc,"freedom , CA"
North Valley Jrs 15‐1,15,North Valley Jrs 15‐1,fj5nvjrs1nc,"Marysville, CA"
Academy 15 Black,15,Academy 15 Black,fj5acdvp3nc,"PALO ALTO, CA"
650 Xtreme Navy 15‐2,15,650 Xtreme Navy 15‐2,fj5x650t2nc,"San Mateo, CA"
Vibe Rage 15's,15,Vibe Rage 15's,fj5vvibe2nc,"Danville, CA"
Pulse Black 15‐1,15,Pulse Black 15‐1,fj5pulse1nc,"Ripon, CA"
SF Tremors Jaguars 15‐2,15,SF Tremors Jaguars 15‐2,fj5sftrm2nc,"SAN FRANCISCO, C"
Aftershock 15‐1,15,Aftershock 15‐1,fj5aftes1nc,"Santa Rosa, CA"
FPVC Gold 15‐1,15,FPVC Gold 15‐1,fj5fpvcv1nc,"Elk Grove, CA"
ClubSolano Renegades15‐2,15,ClubSolano Renegades15‐2,fj5solno2nc,"Suisun, CA"
Empire Mizuno 15‐1,15,Empire Mizuno 15‐1,fj5mpire1nc,"Santa Rosa, CA"
Club Kalani Purple 15‐1,15,Club Kalani Purple 15‐1,fj5kalni1nc,"Alameda, CA"
Spark Maria 15‐1,15,Spark Maria 15‐1,fj5spark1nc,"lodi, CA"
Encore White 15‐3,15,Encore White 15‐3,fj5encoe3nc,"Redwood City, CA"
Turlock Crush 15‐1,15,Turlock Crush 15‐1,fj5turlo1nc,"Turlock, CA"
Xplosion 15‐1,15,Xplosion 15‐1,fj5xplvc1nc,"Tracy, CA"
Odyssey 15‐2 WHITE,15,Odyssey 15‐2 WHITE,fj5odysy2nc,"Walnut Creek, CA"
Evolve 15‐1,15,Evolve 15‐1,fj5evolv1nc,"Napa, CA"
Vacaville Extreme 15‐2,15,Vacaville Extreme 15‐2,fj5vacex2nc,"Vacaville, CA"
Empire Black 15‐2,15,Empire Black 15‐2,fj5mpire2nc,"Santa Rosa, CA"
VR 15 Grey,15,VR 15 Grey,fj5valre1nc,"Tracy, CA"
IMUA Black 15‐2,15,IMUA Black 15‐2,fj5imuaw2nc,"Marina, CA"
Beach Vibes Pelicans 15‐2,15,Beach Vibes Pelicans 15‐2,fj5bevbs2nc,"Berkeley, CA"
BAVC Power Black 15‐1,15,BAVC Power Black 15‐1,fj5bablv1nc,"Walnut Creek, CA"
Diablo Green 15‐2,15,Diablo Green 15‐2,fj5dvgvc2nc,"Concord, CA"
Main Beach Girls 15 Power,15,Main Beach Girls 15 Power,fj5mainb2nc,"Capitola, CA"
SFJRS Black 15‐2,15,SFJRS Black 15‐2,fj5sfjrs2nc,"San Francisco, CA"
SSVC 15 Tornado,15,SSVC 15 Tornado,fj5silvs2nc,"Carson City, NV"
Crush Grey 15‐2,15,Crush Grey 15‐2,fj5crush2nc,"freedom , CA"
DTVC 15‐1,15,DTVC 15‐1,fj5doutr1nc,"Oakdale, CA"
805 Elite Silver 15‐2,15,805 Elite Silver 15‐2,fj5elvte2nc,"San Luis Obispo, C"
EBVA 15‐2,15,EBVA 15‐2,fj5estby2nc,"Pleasanton, CA"
KamanaVBC 15‐1,15,KamanaVBC 15‐1,fj5kaman1nc,"Pleasanton, CA"
PRVA Thunder 15‐2,15,PRVA Thunder 15‐2,fj5pacri3nc,"Pleasant Hill, CA"
Golden Bear Mizuno 15‐1,15,Golden Bear Mizuno 15‐1,fj5gbear1nc,"Vallejo, CA"
Palo Alto Platinum 15‐1,15,Palo Alto Platinum 15‐1,fj5palto1nc,"Palo Alto, CA"
Gold Cal Jrs Elite 15‐2,15,Gold Cal Jrs Elite 15‐2,fj5gldcl2nc,"Granite Bay, CA"
Soljahs 15‐1,15,Soljahs 15‐1,fj5solhs1nc,"SAN MATEO, CA"
Adrenaline 15‐1,15,Adrenaline 15‐1,fj5adren1nc,"San Martin, CA"
Core Black 15‐2 ,15,Core Black 15‐2 ,fj5corev2nc,"Dublin, CA"
PRVA Lightning 15‐1,15,PRVA Lightning 15‐1,fj5pacri2nc,"Pleasant Hill, CA"
Varsity 15 Laura/Bill,15,Varsity 15 Laura/Bill,fj5varvb1nc,"Stockton, CA"
BAVC Power Red 15‐2,15,BAVC Power Red 15‐2,fj5bablv2nc,"Walnut Creek, CA"
Aftershock 15‐2,15,Aftershock 15‐2,fj5aftes2nc,"Santa Rosa, CA"
NorCal Top Gun 15‐1,15,NorCal Top Gun 15‐1,fj5nctog1nc,"Hayward, CA"
Vision 15 Gold,15,Vision 15 Gold,fj5vsion1nc,"Los Gatos, CA"
Absolute Black 15‐1,15,Absolute Black 15‐1,fj5absol1nc,"San Rafael, CA"
Rage 15‐Greg ,15,Rage 15‐Greg ,fj5ripor1nc,"Ripon, CA"
Red Rock 15‐1,15,Red Rock 15‐1,fj5rrock1nc,"Redwood City, CA"
Vision 15 Blue,15,Vision 15 Blue,fj5vsion2nc,"Los Gatos, CA"
NCVC Asics 15‐1,15,NCVC Asics 15‐1,fj5ncvcb1nc,"Meadow Vista, CA"
Encore Navy 15‐1,15,Encore Navy 15‐1,fj5encoe1nc,"Redwood City, CA"
Absolute Pink 15‐2,15,Absolute Pink 15‐2,fj5absol2nc,"San Rafael, CA"
SF JRS RoShamBo 15‐1,15,SF JRS RoShamBo 15‐1,fj5sfjrs1nc,"San Francisco, CA"
SF Tremors Cobras 15‐1,15,SF Tremors Cobras 15‐1,fj5sftrm1nc,"SAN FRANCISCO, C"
IMUA Smack 15‐1,15,IMUA Smack 15‐1,fj5imuaw1nc,"Marina, CA"
SynergyForce 15 Gold,15,SynergyForce 15 Gold,fj5force1nc,"Sacramento, CA"
Five Starz 15‐1,15,Five Starz 15‐1,fj5fives1nc,"Davis, CA"
Red Rock 15‐2,15,Red Rock 15‐2,fj5rrock2nc,"Redwood City, CA"
NorCal Black 15‐1,15,NorCal Black 15‐1,fj5norca1nc,"Pleasanton, CA"
Beach Vibe Stingrays 15‐1,15,Beach Vibe Stingrays 15‐1,fj5bevbs1nc,"Berkeley, CA"
805 Elite Gold 15‐1,15,805 Elite Gold 15‐1,fj5elvte1nc,"San Luis Obispo, C"
Gold Cal Jrs Air 15‐1,15,Gold Cal Jrs Air 15‐1,fj5gldcl1nc,"Granite Bay, CA"
Chico Matrix 15‐1,15,Chico Matrix 15‐1,fj5covcc1nc,"Chico, CA"
Stingray Black 15‐1,15,Stingray Black 15‐1,fj5stray1nc,"San Jose, CA"
Club Solano Impact 15‐1,15,Club Solano Impact 15‐1,fj5solno1nc,"Suisun, CA"
United 15 Black,15,United 15 Black,fj5lkhic1nc,"Yuba City, CA"
MVVC 15 Red 15‐1,15,MVVC 15 Red 15‐1,fj5mouvi1nc,"Sunnyvale, CA"
Carmel Beach Janessa 15's,15,Carmel Beach Janessa 15's,fj5carmb1nc,"Carmel Valley, CA"
Central Cal Gold 15‐1,15,Central Cal Gold 15‐1,fj5clovs1nc,"FRESNO, CA"
NNJ Alix 15‐1,15,NNJ Alix 15‐1,fj5nnejr1nc,"Sparks, NV"
MVVC 15 Black 15‐2,15,MVVC 15 Black 15‐2,fj5mouvi2nc,"Sunnyvale, CA"
650 Xtreme Red 15‐1,15,650 Xtreme Red 15‐1,fj5x650t1nc,"San Mateo, CA"
Diablo Black 15‐1,15,Diablo Black 15‐1,fj5dvgvc1nc,"Concord, CA"
NorCal Blue 15‐2,15,NorCal Blue 15‐2,fj5norca2nc,"Pleasanton, CA"
SSVC 15 Mizuno,15,SSVC 15 Mizuno,fj5silvs1nc,"Carson City, NV"
Xceleration Blue 15‐1,15,Xceleration Blue 15‐1,fj5xcele1nc,"Orinda, CA"
Main Beach Gold 15 Travel,15,Main Beach Gold 15 Travel,fj5mainb1nc,"Capitola, CA"
Bayside 15‐1,15,Bayside 15‐1,fj5bsdvl1nc,"Orinda, CA"
Pacific Coast Kayla 15‐1,15,Pacific Coast Kayla 15‐1,fj5pfcst1nc,"Escalon, CA"
NCVC Flashpoint 15‐2,15,NCVC Flashpoint 15‐2,fj5ncvcb2nc,"Meadow Vista, CA"
Vision 16 White,16,Vision 16 White,fj6vsion3nc,"Los Gatos, CA"
Nets16‐1,16,Nets16‐1,fj6nnets1nc,"Dublin, CA"
Pulse Black 16‐1,16,Pulse Black 16‐1,fj6pulse1nc,"Ripon, CA"
NorCal Blue 16‐2,16,NorCal Blue 16‐2,fj6norca2nc,"Pleasanton, CA"
IMUA Smack 16‐1,16,IMUA Smack 16‐1,fj6imuaw1nc,"Marina, CA"
Five Starz 16‐1,16,Five Starz 16‐1,fj6fives1nc,"Davis, CA"
Chico Matrix 16‐1,16,Chico Matrix 16‐1,fj6covcc1nc,"Chico, CA"
Main Beach Girls 16 Power,16,Main Beach Girls 16 Power,fj6mainb2nc,"Capitola, CA"
SF JRS Black 16‐2,16,SF JRS Black 16‐2,fj6sfjrs2nc,"San Francisco, CA"
hcSYNERGY Grey 16‐1,16,hcSYNERGY Grey 16‐1,fj6syner1nc,"San Jose, CA"
EBVA 16‐1,16,EBVA 16‐1,fj6estby1nc,"Pleasanton, CA"
PAEVBC Power 16‐1,16,PAEVBC Power 16‐1,fj6palel1nc,"Palo Alto, CA"
Club Solano Focus 16‐2,16,Club Solano Focus 16‐2,fj6solno2nc,"Suisun, CA"
Empire Mizuno 16‐1,16,Empire Mizuno 16‐1,fj6mpire1nc,"Santa Rosa, CA"
Diablo Black 16‐1,16,Diablo Black 16‐1,fj6dvgvc1nc,"Concord, CA"
NNJ Amy 16‐2,16,NNJ Amy 16‐2,fj6nnejr2nc,"Sparks, NV"
SynergyForce 16 Black,16,SynergyForce 16 Black,fj6force2nc,"Sacramento, CA"
Marin Jrs Black 16‐1,16,Marin Jrs Black 16‐1,fj6marin1nc,"San Rafael, CA"
FVBC Nike Black 16‐1,16,FVBC Nike Black 16‐1,fj6fgvbc1nc,"FRESNO, CA"
Spark Patty 16‐1,16,Spark Patty 16‐1,fj6spark1nc,"lodi, CA"
Rage 16‐Kendal,16,Rage 16‐Kendal,fj6ripor3nc,"Ripon, CA"
Academy 16 Black,16,Academy 16 Black,fj6acdvp4nc,"PALO ALTO, CA"
LVBC Paris 16‐1,16,LVBC Paris 16‐1,fj6legvb1nc,"West Sacramento, CA"
VR 16 Black,16,VR 16 Black,fj6valre1nc,"Tracy, CA"
Polaris 16's Storm,16,Polaris 16's Storm,fj6solvb1nc,"Redwood City , CA"
Encore White 16‐3,16,Encore White 16‐3,fj6encoe3nc,"Redwood City, CA"
XcelerationWhite 16‐2,16,XcelerationWhite 16‐2,fj6xcele2nc,"Orinda, CA"
Carmel Beach Kelsey 16's,16,Carmel Beach Kelsey 16's,fj6carmb1nc,"Carmel Valley, CA"
KamanaVBC 16‐1,16,KamanaVBC 16‐1,fj6kaman1nc,"Pleasanton, CA"
Gold Cal Jrs Elite 16‐2,16,Gold Cal Jrs Elite 16‐2,fj6gldcl2nc,"Granite Bay, CA"
Evolve Black 16‐1,16,Evolve Black 16‐1,fj6evolv1nc,"Napa, CA"
Central Cal Silver 16‐2,16,Central Cal Silver 16‐2,fj6clovs2nc,"FRESNO, CA"
Aftershock 16‐1,16,Aftershock 16‐1,fj6aftes1nc,"Santa Rosa, CA"
650 Xtreme Navy 16‐2,16,650 Xtreme Navy 16‐2,fj6x650t2nc,"San Mateo, CA"
SF Tremors Cougars 16‐1,16,SF Tremors Cougars 16‐1,fj6sftrm1nc,"SAN FRANCISCO, C"
Vibe Legacy 16's,16,Vibe Legacy 16's,fj6vvibe1nc,"Danville, CA"
Vista 16‐1,16,Vista 16‐1,fj6vista1nc,"Oakhurst, CA"
United 16 Black,16,United 16 Black,fj6lkhic1nc,"Yuba City, CA"
DTVC 16‐1,16,DTVC 16‐1,fj6doutr1nc,"Oakdale, CA"
Lakas Maroon 16‐1,16,Lakas Maroon 16‐1,fj6laiat1nc,"Union City, CA"
Empire Black 16‐2,16,Empire Black 16‐2,fj6mpire2nc,"Santa Rosa, CA"
SPVC Blue 16‐1,16,SPVC Blue 16‐1,fj6spvcv1nc,"Sacramento, CA"
Vacaville Extreme 16‐1,16,Vacaville Extreme 16‐1,fj6vacex1nc,"Vacaville, CA"
Main Beach Gold 16 Travel,16,Main Beach Gold 16 Travel,fj6mainb1nc,"Capitola, CA"
Aloha 16‐1,16,Aloha 16‐1,fj6ptbrk1nc,"San Jose, CA"
BAVC Power Red 16‐2,16,BAVC Power Red 16‐2,fj6bablv2nc,"Walnut Creek, CA"
SSVC 16 Wave,16,SSVC 16 Wave,fj6silvs3nc,"Carson City, NV"
Slainte Forest 16‐2,16,Slainte Forest 16‐2,fj6slanb2nc,"San Francisco, CA"
PRVA Monsoon 16‐1,16,PRVA Monsoon 16‐1,fj6pacri1nc,"Pleasant Hill, CA"
Velocity 16 Brenda ,16,Velocity 16 Brenda ,fj6veloc1nc,"Modesto, CA"
Club Excelsior Amy 16‐1,16,Club Excelsior Amy 16‐1,fj6exlsr1nc,"Visalia, CA"
SSVC 16 Runbird,16,SSVC 16 Runbird,fj6silvs2nc,"Carson City, NV"
805 Elite Gold 16‐1,16,805 Elite Gold 16‐1,fj6elvte1nc,"San Luis Obispo, C"
LC Nevada 16‐1,16,LC Nevada 16‐1,fj6twnyv1nc,"Yerington, NV"
Tandem Obsidian 16‐1,16,Tandem Obsidian 16‐1,fj6tande1nc,"San Francisco, CA"
Diablo Impact 16‐2,16,Diablo Impact 16‐2,fj6dvgvc2nc,"Concord, CA"
Varsity 16 JJ,16,Varsity 16 JJ,fj6varvb1nc,"Stockton, CA"
MVVC 16 Black 16‐2,16,MVVC 16 Black 16‐2,fj6mouvi2nc,"Sunnyvale, CA"
Pacpre 16‐2,16,Pacpre 16‐2,fj6papvc2nc,"Clovis, CA"
PRVA Typhoon 16‐2,16,PRVA Typhoon 16‐2,fj6pacri2nc,"Pleasant Hill, CA"
BAVC Power Black 16‐1,16,BAVC Power Black 16‐1,fj6bablv1nc,"Walnut Creek, CA"
Core Black 16‐2,16,Core Black 16‐2,fj6corev2nc,"Dublin, CA"
FPVC Gold 16‐1,16,FPVC Gold 16‐1,fj6fpvcv1nc,"Elk Grove, CA"
Adrenaline 16‐1,16,Adrenaline 16‐1,fj6adren1nc,"San Martin, CA"
Club Cruz 16 Gold,16,Club Cruz 16 Gold,fj6clcrv1nc,"Santa Cruz, CA"
Xceleration Gold 16‐3,16,Xceleration Gold 16‐3,fj6xcele3nc,"Orinda, CA"
FVBC Nike Red 16‐2,16,FVBC Nike Red 16‐2,fj6fgvbc2nc,"FRESNO, CA"
PVC Girl's 16‐1,16,PVC Girl's 16‐1,fj6pvcvb1nc,"Placerville, CA"
West County 16‐1,16,West County 16‐1,fj6wescv1nc,"Guerneville , CA"
Xplosion 16‐2,16,Xplosion 16‐2,fj6xplvc2nc,"Tracy, CA"
Aftershock 16‐2,16,Aftershock 16‐2,fj6aftes2nc,"Santa Rosa, CA"
ClubSolano Explosion 16‐3,16,ClubSolano Explosion 16‐3,fj6solno3nc,"Suisun, CA"
Spark Gabby 16‐2,16,Spark Gabby 16‐2,fj6spark2nc,"lodi, CA"
Nets 16‐2,16,Nets 16‐2,fj6nnets2nc,"Dublin, CA"
Encore Select 16‐4,16,Encore Select 16‐4,fj6encoe4nc,"Redwood City, CA"
Titan Matt 16‐1,16,Titan Matt 16‐1,fj6titav1nc,"Santa Clara, CA"
Varsity 16 George/James,16,Varsity 16 George/James,fj6varvb2nc,"Stockton, CA"
Diablo East 16‐3,16,Diablo East 16‐3,fj6dvgvc3nc,"Concord, CA"
Cal Tigers Gold 16‐1,16,Cal Tigers Gold 16‐1,fj6cltgr1nc,"Mokelumne Hill, C"
Club Prime 16 Shannon,16,Club Prime 16 Shannon,fj6prime1nc,"Galt, CA"
Absolute Black 16‐1,16,Absolute Black 16‐1,fj6absol1nc,"San Rafael, CA"
Beach Vibes Riptides16‐1,16,Beach Vibes Riptides16‐1,fj6bevbs1nc,"Berkeley, CA"
Vision 16 Gold,16,Vision 16 Gold,fj6vsion1nc,"Los Gatos, CA"
Red Rock 16‐1,16,Red Rock 16‐1,fj6rrock1nc,"Redwood City, CA"
NCVC Asics 16‐1,16,NCVC Asics 16‐1,fj6ncvcb1nc,"Meadow Vista, CA"
Encore Navy 16‐1,16,Encore Navy 16‐1,fj6encoe1nc,"Redwood City, CA"
Vision 16 Blue,16,Vision 16 Blue,fj6vsion2nc,"Los Gatos, CA"
Crush Black 16‐1,16,Crush Black 16‐1,fj6crush1nc,"freedom , CA"
SF JRS RoShamBo 16‐1,16,SF JRS RoShamBo 16‐1,fj6sfjrs1nc,"San Francisco, CA"
Pacific Coast Jayne 16‐1,16,Pacific Coast Jayne 16‐1,fj6pfcst1nc,"Escalon, CA"
Central Cal Gold 16‐1,16,Central Cal Gold 16‐1,fj6clovs1nc,"FRESNO, CA"
Frisco Bay 16‐1,16,Frisco Bay 16‐1,fj6frisc1nc,"San Francisco, CA"
Rage 16‐Garren,16,Rage 16‐Garren,fj6ripor2nc,"Ripon, CA"
City Beach Black 16‐1,16,City Beach Black 16‐1,fj6beach1nc,"Santa Clara, CA"
NNJ Kuna 16‐1,16,NNJ Kuna 16‐1,fj6nnejr1nc,"Sparks, NV"
MVVC 16 Red 16‐1,16,MVVC 16 Red 16‐1,fj6mouvi1nc,"Sunnyvale, CA"
NorCal Black 16‐1,16,NorCal Black 16‐1,fj6norca1nc,"Pleasanton, CA"
Turlock Crush 16‐1,16,Turlock Crush 16‐1,fj6turlo1nc,"Turlock, CA"
Gold Cal Jrs  Air 16‐1,16,Gold Cal Jrs  Air 16‐1,fj6gldcl1nc,"Granite Bay, CA"
Club Solano Rage 16‐1,16,Club Solano Rage 16‐1,fj6solno1nc,"Suisun, CA"
Absolute Pink 16‐2,16,Absolute Pink 16‐2,fj6absol2nc,"San Rafael, CA"
NorCal Top Gun 16‐1,16,NorCal Top Gun 16‐1,fj6nctog1nc,"Hayward, CA"
Endline Black 16‐1,16,Endline Black 16‐1,fj6endli1nc,"Fremont, CA"
Red Rock 16‐2,16,Red Rock 16‐2,fj6rrock2nc,"Redwood City, CA"
City Beach Green 16‐2,16,City Beach Green 16‐2,fj6beach2nc,"Santa Clara, CA"
Core Elite 16‐1 ,16,Core Elite 16‐1 ,fj6corev1nc,"Dublin, CA"
Academy 16 Gold,16,Academy 16 Gold,fj6acdvp2nc,"PALO ALTO, CA"
Stingray Black 16‐1,16,Stingray Black 16‐1,fj6stray1nc,"San Jose, CA"
Slainte Black 16‐1,16,Slainte Black 16‐1,fj6slanb1nc,"San Francisco, CA"
NCVC Flashpoint 16‐2 ,16,NCVC Flashpoint 16‐2 ,fj6ncvcb2nc,"Meadow Vista, CA"
650 Xtreme Red 16‐1,16,650 Xtreme Red 16‐1,fj6x650t1nc,"San Mateo, CA"
SSVC 16 Mizuno,16,SSVC 16 Mizuno,fj6silvs1nc,"Carson City, NV"
Pacpre 16‐1,16,Pacpre 16‐1,fj6papvc1nc,"Clovis, CA"
Encore Red 16‐2,16,Encore Red 16‐2,fj6encoe2nc,"Redwood City, CA"
Xplosion 16‐1,16,Xplosion 16‐1,fj6xplvc1nc,"Tracy, CA"
Xceleration Blue 16‐1,16,Xceleration Blue 16‐1,fj6xcele1nc,"Orinda, CA"
Pacpre 17‐1,17,Pacpre 17‐1,fj7papvc1nc,"Clovis, CA"
Vibe Black 17's,17,Vibe Black 17's,fj7vvibe1nc,"Danville, CA"
Kamikaze 17‐1,17,Kamikaze 17‐1,fj7kamik1nc,"Foster City , CA"
ClubSolano Legacy 17‐1,17,ClubSolano Legacy 17‐1,fj7solno1nc,"Suisun, CA"
Adrenaline 17‐1,17,Adrenaline 17‐1,fj7adren1nc,"San Martin, CA"
Spark Cat 17‐2,17,Spark Cat 17‐2,fj7spark2nc,"lodi, CA"
Xplosion 17‐1,17,Xplosion 17‐1,fj7xplvc1nc,"Tracy, CA"
Aftershock 17‐1,17,Aftershock 17‐1,fj7aftes1nc,"Santa Rosa, CA"
Whiplash Zach 17‐1,17,Whiplash Zach 17‐1,fj7whipl1nc,"Hanford, CA"
NorCal Top Gun 17‐2,17,NorCal Top Gun 17‐2,fj7nctog2nc,"Hayward, CA"
NNJ James 17‐2,17,NNJ James 17‐2,fj7nnejr2nc,"Sparks, NV"
NorCal Top Gun 17‐1,17,NorCal Top Gun 17‐1,fj7nctog1nc,"Hayward, CA"
BAVC Power Black 17‐1,17,BAVC Power Black 17‐1,fj7bablv1nc,"Walnut Creek, CA"
Diablo Green 17‐2,17,Diablo Green 17‐2,fj7dvgvc2nc,"Concord, CA"
SSVC 17 Tornado,17,SSVC 17 Tornado,fj7silvs2nc,"Carson City, NV"
Club Prime 17 Lauren,17,Club Prime 17 Lauren,fj7prime1nc,"Galt, CA"
Novato 17‐1,17,Novato 17‐1,fj7nyvav1nc,"Novato, CA"
Absolute Black 17‐1,17,Absolute Black 17‐1,fj7absol1nc,"San Rafael, CA"
SSVC 17 Mizuno,17,SSVC 17 Mizuno,fj7silvs1nc,"Carson City, NV"
Rage 17‐Greg,17,Rage 17‐Greg,fj7ripor1nc,"Ripon, CA"
Red Rock 17‐1,17,Red Rock 17‐1,fj7rrock1nc,"Redwood City, CA"
Vision 17 Gold,17,Vision 17 Gold,fj7vsion1nc,"Los Gatos, CA"
Slainte Black 17‐1,17,Slainte Black 17‐1,fj7slanb1nc,"San Francisco, CA"
Marin Jrs Black 17‐1,17,Marin Jrs Black 17‐1,fj7marin1nc,"San Rafael, CA"
NCVC Asics 17‐1,17,NCVC Asics 17‐1,fj7ncvcb1nc,"Meadow Vista, CA"
NorCal Black 17‐1,17,NorCal Black 17‐1,fj7norca1nc,"Pleasanton, CA"
Pacific Coast Sheri 17‐1,17,Pacific Coast Sheri 17‐1,fj7pfcst1nc,"Escalon, CA"
Aspire Black 17‐1,17,Aspire Black 17‐1,fj7folso1nc,"Folsom, CA"
Stingray Black 17‐1,17,Stingray Black 17‐1,fj7stray1nc,"San Jose, CA"
